Sector,company_name,location,start_date,duration,stipend,skills
Java Development,SunbaseData,Work From Home,Immediately,6 Months,"? 30,000 /month","Java, OOP, Spring, REST APIs, Data Structures"
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6 Months,"? 5,000-10,000 /month","Tally, Excel, Financial Statements, GST, Bookkeeping, Financial Analysis, Accounting Basics, Financial Modeling"
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6 Months,"? 12,000 /month","Camera Operation, Lighting, Video Editing, Composition, Storytelling, Camera Skills, Adobe Lightroom, Photo Editing"
English Curriculum Writing,Team Everest,Work From Home,Immediately,6 Months,Unpaid,"Curriculum Design, Subject Knowledge, Pedagogy, Content Development, Writing, Research, Grammar, Creativity"
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6 Months,"? 5,000 /month","SEO, Google Analytics, Keyword Research, HTML, Content Writing"
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6 Months,"? 7,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory, Communication, Eagerness to Learn, Teamwork"
Graphic Design,Expedify,Work From Home,Immediately,6 Months,"? 10,000-15,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
Campus Ambassador,Internshala,Work From Home,Not specified,6 Months,?2000,"Communication, Problem Solving, Teamwork, MS Office"
Customer Support Management,ClearTax,Bangalore,Immediately,6 Months,"? 30,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, CRM, Patience, Active Listening"
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,"Writing, Research, SEO, Grammar, Creativity, Editing"
Office Operations,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,"Process Optimization, Excel, Communication, Project Management, MS Office, Organization, Filing, Scheduling"
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"? 10,000 /month","Copywriting, Persuasive Writing, SEO, Brand Voice, Creativity, Writing, Research, Grammar"
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"? 5,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Social Media, Communication, Branding"
Customer Success,ClearTax,Bangalore,Immediately,6 Months,"? 20,000 /month","Communication, Problem Solving, CRM, Patience, Active Listening"
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6 Months,"? 1,500-2,500 /month","Communication, Problem Solving, Teamwork, MS Office"
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6 Months,"? 2,000-2,500 /month","Communication, Professionalism, Presentation, MS Office, Negotiation, CRM, Lead Generation"
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6 Months,"? 2,000-2,500 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Product Management,Saregama India Limited,Mumbai,Immediately,6 Months,"? 5,000-10,000 /month","Product Strategy, Agile, User Research, Communication, Analytics, Leadership, Planning, MS Office"
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Social Media, Content Creation, Communication, Analytics, Branding, Marketing Strategy"
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Communication, Media Relations, Press Releases, Writing, Crisis Management"
Law/Legal,Thomas Cook,Mumbai,Immediately,6 Months,"? 3,000 /month","Legal Research, Contract Drafting, Legal Writing, Compliance, Case Analysis, Regulatory Compliance"
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
